System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:49:20:578, 150802413106040,    0.098,    3.000,  800,   2.681,   0.262,   0.073,   0.883,   0.086,   0.024, 40,  0,   0.648,   0.063,   0.018,   0.013,   0.001,   0.000,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:20:689, 150802725164254,    0.209,    9.000,  900,   2.488,   0.538,   0.149,   0.718,   0.166,   0.046, 41,  0,   0.632,   0.133,   0.037,   0.008,   0.002,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:20:802, 150803041833971,    0.321,    4.000,  800,   2.131,   0.778,   0.216,   0.394,   0.210,   0.058, 40,  0,   0.623,   0.204,   0.057,   0.015,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:20:907, 150803336595833,    0.426,    5.000,  800,   2.166,   1.006,   0.279,   0.469,   0.260,   0.072, 40,  0,   0.617,   0.269,   0.075,   0.000,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:21:023, 150803662691038,    0.543,   14.000,  900,   2.613,   1.309,   0.364,   0.819,   0.355,   0.099, 40,  0,   0.680,   0.348,   0.097,   0.018,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:21:126, 150803950986239,    0.645,   14.000, 1400,   2.966,   1.614,   0.448,   1.031,   0.461,   0.128, 40,  0,   0.759,   0.425,   0.118,   0.125,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:21:238, 150804266478656,    0.758,   32.000,  900,   3.465,   2.003,   0.556,   1.505,   0.630,   0.175, 41,  0,   0.778,   0.513,   0.142,   0.091,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:21:348, 150804576315264,    0.868,   12.000,  900,   2.728,   2.304,   0.640,   0.860,   0.725,   0.201, 41,  0,   0.790,   0.600,   0.167,   0.068,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:21:455, 150804876575964,    0.975,   23.000, 2400,   4.264,   2.760,   0.767,   2.233,   0.963,   0.268, 41,  0,   1.073,   0.715,   0.199,   0.062,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:49:21:563, 150805179784085,    1.083,    8.000,  800,   3.094,   3.094,   0.859,   1.189,   1.092,   0.303, 40,  0,   0.787,   0.800,   0.222,   0.075,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:21:676, 150805496230467,    1.196,    6.000,  800,   2.255,   3.348,   0.930,   0.507,   1.149,   0.319, 40,  0,   0.631,   0.871,   0.242,   0.014,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:21:786, 150805805311764,    1.306,   12.000,  800,   2.577,   3.632,   1.009,   0.832,   1.240,   0.345, 40,  0,   0.641,   0.941,   0.262,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:21:895, 150806112436937,    1.415,    5.000,  800,   2.103,   3.862,   1.073,   0.424,   1.287,   0.357, 40,  0,   0.608,   1.008,   0.280,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:001, 150806408029328,    1.520,    8.000,  800,   2.250,   4.099,   1.139,   0.542,   1.344,   0.373, 40,  0,   0.644,   1.076,   0.299,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:113, 150806722983871,    1.632,   10.000,  800,   2.477,   4.377,   1.216,   0.719,   1.424,   0.396, 40,  0,   0.636,   1.147,   0.319,   0.000,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:224, 150807036638887,    1.744,   15.000, 1500,   2.796,   4.689,   1.302,   0.988,   1.535,   0.426, 40,  0,   0.610,   1.215,   0.338,   0.048,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:328, 150807329443409,    1.848,   11.000,  900,   2.590,   4.959,   1.377,   0.815,   1.620,   0.450, 41,  0,   0.675,   1.286,   0.357,   0.015,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:439, 150807640178278,    1.959,   40.000, 3500,   4.773,   5.487,   1.524,   2.813,   1.931,   0.536, 45,  0,   0.903,   1.386,   0.385,   0.072,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:49:22:547, 150807943046999,    2.067,   10.000, 1500,   6.816,   6.222,   1.728,   4.796,   2.448,   0.680, 42,  0,   1.063,   1.500,   0.417,   0.088,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:656, 150808249317551,    2.176,    4.000,  800,   2.150,   6.457,   1.794,   0.479,   2.501,   0.695, 41,  0,   0.584,   1.564,   0.434,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:769, 150808565648950,    2.289,    7.000,  800,   2.330,   6.719,   1.866,   0.612,   2.570,   0.714, 40,  0,   0.586,   1.630,   0.453,   0.000,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:876, 150808866046324,    2.396,    4.000,  800,   2.044,   6.938,   1.927,   0.366,   2.609,   0.725, 40,  0,   0.601,   1.694,   0.471,   0.006,   0.078,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:22:986, 150809174709264,    2.506,    1.000,  800,   1.851,   7.141,   1.984,   0.188,   2.630,   0.730, 40,  0,   0.589,   1.759,   0.489,   0.024,   0.080,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:094, 150809479682539,    2.614,    6.000,  800,   2.211,   7.382,   2.050,   0.519,   2.686,   0.746, 40,  0,   0.578,   1.822,   0.506,   0.000,   0.080,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:215, 150809818810065,    2.735,   14.000, 1500,   2.504,   7.684,   2.134,   0.767,   2.779,   0.772, 40,  0,   0.578,   1.892,   0.525,   0.048,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:312, 150810091300255,    2.832,    9.000, 1500,   2.957,   7.971,   2.214,   1.177,   2.893,   0.804, 40,  0,   0.582,   1.948,   0.541,   0.009,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:428, 150810416146455,    2.948,    6.000,  800,   2.299,   8.237,   2.288,   0.608,   2.963,   0.823, 40,  0,   0.583,   2.015,   0.560,   0.013,   0.088,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:531, 150810706282241,    3.051,    4.000,  800,   1.900,   8.433,   2.343,   0.258,   2.990,   0.831, 40,  0,   0.602,   2.078,   0.577,   0.000,   0.088,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:640, 150811012692559,    3.160,   11.000, 1500,   4.769,   8.954,   2.487,   2.872,   3.303,   0.918, 42,  0,   0.925,   2.179,   0.605,   0.000,   0.088,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:755, 150811335064452,    3.275,    5.000,  800,   2.233,   9.210,   2.558,   0.574,   3.369,   0.936, 40,  0,   0.563,   2.243,   0.623,   0.000,   0.088,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:859, 150811625717565,    3.378,   14.000, 3500,  10.403,  10.287,   2.857,   8.529,   4.252,   1.181, 60,  0,   0.735,   2.319,   0.644,   0.040,   0.092,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:23:974, 150811948510336,    3.493,   13.000, 1500,  13.437,  11.831,   3.287,  11.587,   5.584,   1.551, 51,  0,   0.602,   2.388,   0.663,   0.026,   0.095,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:24:079, 150812244157470,    3.599,   11.000,  800,   6.558,  12.522,   3.478,   4.652,   6.074,   1.687, 41,  0,   0.863,   2.479,   0.689,   0.071,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:24:216, 150812628234983,    3.735,   14.000, 1900,   2.411,  12.852,   3.570,   0.656,   6.163,   1.712, 41,  0,   0.581,   2.559,   0.711,   0.041,   0.109,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:24:300, 150812863818775,    3.819,    1.000,  800,   2.070,  13.025,   3.618,   0.429,   6.199,   1.722, 40,  0,   0.605,   2.609,   0.725,   0.005,   0.109,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:24:406, 150813164305910,    3.926,    6.000,  800,   2.137,  13.254,   3.682,   0.468,   6.249,   1.736, 40,  0,   0.565,   2.670,   0.742,   0.000,   0.109,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:24:522, 150813487816797,    4.042,    2.000,  800,   1.790,  13.460,   3.739,   0.181,   6.270,   1.742, 40,  0,   0.562,   2.735,   0.760,   0.000,   0.109,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:24:631, 150813793886974,    4.151,    4.000,  800,   2.104,  13.689,   3.803,   0.381,   6.312,   1.753, 40,  0,   0.605,   2.801,   0.778,   0.030,   0.112,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:49:24:737, 150814090419161,    4.256,   17.000, 3100,   4.962,  14.213,   3.948,   3.066,   6.635,   1.843, 48,  0,   1.004,   2.907,   0.807,   0.018,   0.114,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
