System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:57:40:099, 218686916985514,    0.115,    7.000, 1000,   3.661,   0.420,   0.117,   1.718,   0.197,   0.055, 41,  0,   0.785,   0.090,   0.025,   0.046,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:40:208, 218687221335767,    0.223,    4.000,  800,   2.112,   0.648,   0.180,   0.393,   0.240,   0.067, 41,  0,   0.630,   0.158,   0.044,   0.009,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:40:317, 218687527818772,    0.332,    7.000,  800,   2.395,   0.910,   0.253,   0.607,   0.306,   0.085, 41,  0,   0.632,   0.227,   0.063,   0.006,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:40:425, 218687830938705,    0.440,    4.000,  800,   2.065,   1.133,   0.315,   0.388,   0.348,   0.097, 41,  0,   0.603,   0.292,   0.081,   0.000,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:40:536, 218688144074101,    0.552,   11.000,  800,   2.548,   1.417,   0.394,   0.760,   0.432,   0.120, 41,  0,   0.712,   0.372,   0.103,   0.020,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:40:645, 218688449994460,    0.661,    9.000,  800,   2.490,   1.688,   0.469,   0.704,   0.509,   0.141, 41,  0,   0.663,   0.444,   0.123,   0.017,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:40:751, 218688747260507,    0.766,    6.000,  800,   2.296,   1.931,   0.536,   0.492,   0.561,   0.156, 41,  0,   0.643,   0.512,   0.142,   0.055,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:40:915, 218689210165642,    0.931,   27.000, 1400,   2.869,   2.404,   0.668,   1.032,   0.731,   0.203, 41,  0,   0.692,   0.626,   0.174,   0.039,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:40:974, 218689372914852,    0.989,    6.000,  800,   2.452,   2.546,   0.707,   0.663,   0.770,   0.214, 41,  0,   0.710,   0.667,   0.185,   0.018,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:41:082, 218689677162794,    1.098,   11.000,  800,   2.619,   2.830,   0.786,   0.830,   0.860,   0.239, 41,  0,   0.731,   0.747,   0.207,   0.011,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:41:191, 218689982728059,    1.206,   13.000,  900,   2.803,   3.135,   0.871,   0.992,   0.968,   0.269, 41,  0,   0.641,   0.816,   0.227,   0.004,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:41:298, 218690281823111,    1.313,   11.000,  800,   2.620,   3.414,   0.948,   0.815,   1.054,   0.293, 41,  0,   0.665,   0.887,   0.246,   0.017,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:41:411, 218690599789076,    1.426,    4.000,  800,   2.012,   3.642,   1.012,   0.328,   1.091,   0.303, 41,  0,   0.600,   0.955,   0.265,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:41:519, 218690902311923,    1.534,    4.000,  800,   2.061,   3.864,   1.073,   0.388,   1.133,   0.315, 41,  0,   0.590,   1.019,   0.283,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:41:625, 218691199700073,    1.640,    9.000,  800,   2.464,   4.125,   1.146,   0.725,   1.210,   0.336, 40,  0,   0.630,   1.085,   0.302,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:41:736, 218691512114554,    1.751,    6.000,  800,   2.178,   4.367,   1.213,   0.485,   1.264,   0.351, 40,  0,   0.617,   1.154,   0.321,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:57:41:908, 218691995523429,    1.923,   23.000, 1500,   2.618,   4.818,   1.338,   0.852,   1.411,   0.392, 42,  0,   0.629,   1.262,   0.351,   0.015,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
