System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:15:38:804, 11818432894309,    0.100,    2.000, 3600,   8.917,   0.896,   0.249,   4.579,   0.460,   0.128, 54,  0,   0.653,   0.066,   0.018,   2.324,   0.233,   0.065,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:38:913, 11818741355318,    0.210,    1.000, 3800,   8.443,   1.823,   0.506,   4.586,   0.964,   0.268, 54,  0,   0.563,   0.127,   0.035,   2.056,   0.459,   0.128,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:026, 11819057282113,    0.323,    1.000, 3600,   8.060,   2.730,   0.758,   4.209,   1.437,   0.399, 54,  0,   0.553,   0.190,   0.053,   1.982,   0.682,   0.190,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:135, 11819363648270,    0.432,    6.000, 3500,   9.007,   3.713,   1.031,   5.155,   2.000,   0.555, 55,  0,   0.525,   0.247,   0.069,   2.000,   0.901,   0.250,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:245, 11819671067882,    0.541,    0.000, 3600,   7.425,   4.526,   1.257,   3.632,   2.397,   0.666, 54,  0,   0.535,   0.305,   0.085,   1.977,   1.117,   0.310,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:351, 11819970699548,    0.648,    0.000, 3500,   6.631,   5.233,   1.454,   2.818,   2.698,   0.749, 53,  0,   0.507,   0.360,   0.100,   1.972,   1.328,   0.369,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:466, 11820294129868,    0.763,    0.000, 3500,   7.270,   6.070,   1.686,   3.531,   3.105,   0.862, 55,  0,   0.526,   0.420,   0.117,   1.974,   1.555,   0.432,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:571, 11820587439913,    0.868,    0.000, 3400,   6.840,   6.785,   1.885,   2.916,   3.409,   0.947, 53,  0,   0.511,   0.474,   0.132,   1.977,   1.761,   0.489,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:683, 11820901312239,    0.980,    2.000, 3600,   7.859,   7.663,   2.129,   4.015,   3.858,   1.072, 54,  0,   0.580,   0.538,   0.150,   1.979,   1.983,   0.551,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:792, 11821208877111,    1.089,    0.000, 3600,   7.439,   8.478,   2.355,   3.658,   4.259,   1.183, 54,  0,   0.529,   0.596,   0.166,   1.976,   2.199,   0.611,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:39:900, 11821510084839,    1.196,    0.000, 3600,   6.723,   9.199,   2.555,   2.933,   4.573,   1.270, 53,  0,   0.508,   0.651,   0.181,   1.975,   2.411,   0.670,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:011, 11821824041733,    1.308,    1.000, 3600,   7.788,  10.070,   2.797,   3.952,   5.015,   1.393, 56,  0,   0.539,   0.711,   0.198,   1.971,   2.631,   0.731,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:121, 11822131621087,    1.418,    9.000, 3600,   9.286,  11.087,   3.080,   5.427,   5.610,   1.558, 60,  0,   0.544,   0.771,   0.214,   1.994,   2.850,   0.792,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:226, 11822425597405,    1.522,    0.000, 3600,   6.833,  11.802,   3.278,   3.053,   5.929,   1.647, 54,  0,   0.530,   0.826,   0.230,   2.004,   3.060,   0.850,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:340, 11822748000810,    1.637,    0.000, 3400,   6.797,  12.583,   3.495,   2.962,   6.269,   1.741, 54,  0,   0.508,   0.885,   0.246,   1.975,   3.286,   0.913,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:451, 11823059360058,    1.748,    0.000, 3600,   7.468,  13.411,   3.725,   3.622,   6.671,   1.853, 54,  0,   0.525,   0.943,   0.262,   1.983,   3.506,   0.974,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:559, 11823361588077,    1.856,    0.000, 3500,   7.081,  14.173,   3.937,   3.251,   7.021,   1.950, 54,  0,   0.514,   0.998,   0.277,   1.978,   3.719,   1.033,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:668, 11823666897798,    1.964,    0.000, 3400,   6.788,  14.911,   4.142,   2.966,   7.343,   2.040, 54,  0,   0.504,   1.053,   0.292,   1.976,   3.934,   1.093,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:776, 11823972149626,    2.073,    4.000, 3500,  10.514,  16.054,   4.459,   6.557,   8.056,   2.238, 61,  0,   0.665,   1.125,   0.313,   2.188,   4.172,   1.159,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
17:15:40:883, 11824271866977,    2.180,   14.000, 3500,  17.416,  17.913,   4.976,  13.406,   9.487,   2.635, 63,  0,   0.642,   1.194,   0.332,   2.093,   4.395,   1.221,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
