System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:07:31:822, 20566549526192,    0.099,    3.000, 3400,   6.219,   0.616,   0.171,   3.915,   0.388,   0.108, 49,  0,   0.710,   0.070,   0.020,   0.402,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:31:929, 20566853732962,    0.207,    2.000, 3600,   4.733,   1.128,   0.313,   2.870,   0.699,   0.194, 45,  0,   0.614,   0.137,   0.038,   0.037,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:039, 20567159138640,    0.316,    1.000, 3600,   4.474,   1.615,   0.449,   2.558,   0.977,   0.271, 44,  0,   0.618,   0.204,   0.057,   0.013,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:153, 20567478896210,    0.430,    1.000, 3600,   4.448,   2.122,   0.589,   2.587,   1.271,   0.353, 44,  0,   0.587,   0.271,   0.075,   0.000,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:261, 20567784601939,    0.539,    0.000, 3600,   3.157,   2.465,   0.685,   1.306,   1.414,   0.393, 43,  0,   0.553,   0.331,   0.092,   0.000,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:369, 20568085597896,    0.646,    4.000, 3800,   4.608,   2.959,   0.822,   2.705,   1.704,   0.473, 43,  0,   0.568,   0.392,   0.109,   0.067,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:479, 20568396804127,    0.757,    1.000, 3600,   4.136,   3.418,   0.949,   2.277,   1.956,   0.543, 44,  0,   0.585,   0.457,   0.127,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:590, 20568708220854,    0.868,    0.000, 3600,   3.004,   3.751,   1.042,   1.207,   2.090,   0.580, 43,  0,   0.546,   0.518,   0.144,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:695, 20569000984241,    0.972,    1.000, 3500,   4.440,   4.214,   1.170,   2.566,   2.357,   0.655, 44,  0,   0.594,   0.579,   0.161,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:806, 20569312302188,    1.083,    5.000, 3600,   8.698,   5.178,   1.438,   6.830,   3.115,   0.865, 46,  0,   0.639,   0.650,   0.181,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:32:920, 20569633063179,    1.197,    3.000, 3500,   6.744,   5.948,   1.652,   4.898,   3.674,   1.021, 45,  0,   0.616,   0.721,   0.200,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:023, 20569923502335,    1.301,    3.000, 3500,   6.247,   6.594,   1.832,   4.423,   4.132,   1.148, 46,  0,   0.600,   0.783,   0.217,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:134, 20570235785458,    1.412,   23.000, 3600,  13.602,   8.107,   2.252,  11.622,   5.424,   1.507, 45,  0,   0.983,   0.892,   0.248,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:243, 20570540887720,    1.520,    0.000, 3800,   3.183,   8.453,   2.348,   1.349,   5.571,   1.547, 44,  0,   0.557,   0.953,   0.265,   0.000,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:353, 20570850568637,    1.631,    7.000, 3500,   4.931,   8.997,   2.499,   3.051,   5.907,   1.641, 45,  0,   0.558,   1.014,   0.282,   0.053,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:465, 20571165485944,    1.743,    1.000, 3800,   4.093,   9.456,   2.627,   2.158,   6.149,   1.708, 44,  0,   0.594,   1.081,   0.300,   0.037,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:570, 20571457787070,    1.847,    0.000, 3500,   3.028,   9.771,   2.714,   1.202,   6.274,   1.743, 44,  0,   0.546,   1.138,   0.316,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:680, 20571766734630,    1.957,    1.000, 3600,   4.197,  10.233,   2.842,   2.350,   6.533,   1.815, 45,  0,   0.574,   1.201,   0.334,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:789, 20572074981417,    2.067,    2.000, 3500,   4.496,  10.726,   2.980,   2.678,   6.827,   1.896, 44,  0,   0.591,   1.266,   0.352,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:33:900, 20572384968966,    2.177,    2.000, 3600,   5.220,  11.303,   3.140,   3.335,   7.195,   1.999, 44,  0,   0.629,   1.335,   0.371,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:010, 20572695886357,    2.288,    1.000, 3600,   4.194,  11.767,   3.269,   2.331,   7.453,   2.070, 44,  0,   0.584,   1.400,   0.389,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:119, 20573001189018,    2.397,    0.000, 3500,   3.055,  12.099,   3.361,   1.232,   7.587,   2.108, 44,  0,   0.548,   1.459,   0.405,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:232, 20573317325215,    2.509,    0.000, 3600,   3.194,  12.459,   3.461,   1.374,   7.742,   2.150, 44,  0,   0.552,   1.522,   0.423,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:340, 20573620252967,    2.617,    9.000, 3800,   5.719,  13.076,   3.632,   3.838,   8.156,   2.265, 50,  0,   0.579,   1.584,   0.440,   0.032,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:447, 20573922183996,    2.725,    5.000, 3400,   8.115,  13.948,   3.875,   6.352,   8.839,   2.455, 50,  0,   0.649,   1.654,   0.459,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:558, 20574233146563,    2.835,   11.000, 3600,  12.188,  15.298,   4.249,  10.237,   9.972,   2.770, 45,  0,   0.596,   1.720,   0.478,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:665, 20574533627077,    2.942,    2.000, 3600,   4.906,  15.823,   4.395,   3.118,  10.306,   2.863, 44,  0,   0.598,   1.784,   0.496,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:774, 20574839763387,    3.051,    1.000, 3600,   4.128,  16.273,   4.520,   2.215,  10.548,   2.930, 44,  0,   0.584,   1.848,   0.513,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:886, 20575155536613,    3.164,    0.000, 3600,   3.577,  16.675,   4.632,   1.738,  10.743,   2.984, 44,  0,   0.573,   1.912,   0.531,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:34:992, 20575450858188,    3.269,    1.000, 3800,   4.483,  17.147,   4.763,   2.617,  11.018,   3.061, 44,  0,   0.597,   1.975,   0.549,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:106, 20575773347682,    3.384,    1.000, 3600,   3.960,  17.602,   4.889,   2.108,  11.260,   3.128, 43,  0,   0.595,   2.043,   0.568,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:215, 20576079185984,    3.493,    1.000, 3600,   4.498,  18.092,   5.025,   2.700,  11.555,   3.210, 46,  0,   0.591,   2.107,   0.585,   0.000,   0.066,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:341, 20576432633259,    3.619,   28.000, 3400,  12.910,  19.716,   5.477,  10.685,  12.899,   3.583, 55,  0,   0.809,   2.209,   0.614,   0.399,   0.116,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:434, 20576693450505,    3.712,   13.000, 3600,  14.217,  21.037,   5.844,  11.674,  13.984,   3.884, 55,  0,   0.798,   2.283,   0.634,   0.538,   0.166,   0.046,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:544, 20577002049077,    3.821,   13.000, 3500,  14.757,  22.659,   6.294,  12.227,  15.328,   4.258, 54,  0,   0.830,   2.375,   0.660,   0.583,   0.230,   0.064,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:648, 20577293247020,    3.925,   13.000, 3500,  14.799,  24.193,   6.720,  12.527,  16.627,   4.619, 54,  0,   0.729,   2.450,   0.681,   0.339,   0.265,   0.074,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:758, 20577601869425,    4.035,   13.000, 3600,  14.615,  25.800,   7.167,  12.333,  17.982,   4.995, 51,  0,   0.762,   2.534,   0.704,   0.344,   0.303,   0.084,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:871, 20577918999427,    4.148,    2.000, 3800,   6.432,  26.526,   7.368,   4.428,  18.482,   5.134, 45,  0,   0.615,   2.603,   0.723,   0.153,   0.320,   0.089,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:35:980, 20578225374847,    4.257,    2.000, 3500,   4.819,  27.052,   7.514,   2.958,  18.805,   5.224, 45,  0,   0.613,   2.670,   0.742,   0.000,   0.320,   0.089,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:07:36:085, 20578522037061,    4.363,    3.000, 3800,   5.875,  27.673,   7.687,   4.011,  19.229,   5.341, 45,  0,   0.690,   2.743,   0.762,   0.000,   0.320,   0.089,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
